League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CFB,240924,9/28/24,12,FSU,HA,SMU,GAME,MONEY,+190,0,-1,,,ok to +160)
CFB,240924,9/28/24,12,ARIZONA,HA,Utah,GAME,MONEY,+350,0,-1,,,ok to +200)
SLL,240924,9/24/24,9,ALAVES,HA,-125 Real Madrid,GAME,SPREAD,+2,0,-1,,, 
SLL,240924,9/24/24,9,VALENCIA,HA,OSASUNA -135,GAME,OVER,2,0,-1,,, 
SLL,240924,9/25/24,9,LAS PALMAS,HA,+110 Real Betis,GAME,SPREAD,0,0,-1,,, 
SLL,240924,9/25/24,9,CELTA VIGO,HA,-120 Atletico Madrid,GAME,SPREAD,+0.5,0,-1,,, 
ELG,240924,9/25/24,9,MIDTJYLLAND,HA,-125 Hoffenheim,GAME,SPREAD,0,0,-1,,, 
ELG,240924,9/25/24,9,NICE,HA,-160 Real Sociedad,GAME,SPREAD,0,0,-1,,, 
ELG,240924,9/26/24,9,MALMO,HA,-155 Rangers,GAME,SPREAD,0,0,-1,,, 
ELG,240924,9/26/24,9,VIKTORIA PLZEN,HA,-150 Frankfurt,GAME,SPREAD,+1.5,0,-1,,, 
ISA,240924,9/27/24,9,LECCE,HA,-125 AC Milan,GAME,SPREAD,+1.5,0,-1,,, 
FL1,240924,9/27/24,9,PSG,HA,RENNES -135,GAME,UNDER,3.5,0,-1,,, 
ISA,240924,9/28/24,9,UDINESE,HA,-105 InterMilan,GAME,SPREAD,+1,0,-1,,, 
ISA,240924,9/28/24,9,GENOA,HA,-105 Juventus,GAME,SPREAD,+0.5,0,-1,,, 
ISA,240924,9/28/24,9,BOLOGNA,HA,Atalanta,GAME,SPREAD,0,0,-1,,, 
EPL,240924,9/28/24,9,NEWCASTLE,HA,-135 Man City,GAME,SPREAD,+1,0,-1,,, 
EPL,240924,9/28/24,9,ARSENAL,HA,Leicester -160,GAME,UNDER,3.5,0,-1,,, 
EPL,240924,9/28/24,9,WOLVES+1.5,HA,Liverpool,GAME,MONEY,-135,0,-1,,, 
GBL,240924,9/28/24,9,AUGSBURG,HA,-120 Leipzig,GAME,SPREAD,+1.5,0,-1,,, 
GBL,240924,9/28/24,9,WOLFSBURG,HA,-135 Stuttgart,GAME,SPREAD,+0.5,0,-1,,, 
FL1,240924,9/28/24,9,LEHAVRE,HA,Lille,GAME,SPREAD,+0.5,0,-1,,, 
SLL,240924,9/29/24,9,ATLETICO,HA,Real Madrid,GAME,SPREAD,+0.5,0,-1,,, 
SLL,240924,9/29/24,9,VALENCIA,HA,Real Sociedad,GAME,SPREAD,+1,0,-1,,, 
SLL,240924,9/29/24,9,OSASUNA,HA,Barcelona,GAME,SPREAD,+1,0,-1,,, 
ISA,240924,9/29/24,9,TORINO,HA,-105 Lazio,GAME,SPREAD,0,0,-1,,, 
ISA,240924,9/29/24,9,EMPOLI,HA,-145 Fiorentina,GAME,SPREAD,+0.5,0,-1,,, 
FL1,240924,9/29/24,9,STRASBOURG,HA,-135 Marseille,GAME,SPREAD,+0.5,0,-1,,, 
